trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,picture2,picture3,picture4,context_norm
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Hochtrabend daherkommend*erwähnte*der Profi:,"Ich*mutmaße,*dass*die Reparatur*trotz der fairen Versicherung*teuer ist. ",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,practice1rel1.jpg,practice1rel2.jpg,practice1unrel1.jpg,practice1unrel2.jpg,Hochtrabend daherkommend erwähnte der Profi:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Gut gelaunt*sagte*die Studentin:,Ich*schreibe*später*meine Hausaufgaben*in der Bibliothek.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,practice2rel1.jpg,practice2rel2.jpg,practice2unrel1.jpg,practice2unrel2.jpg,Gut gelaunt sagte die Studentin:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Minimal verunsichert*benannte*Anne:,"Ich*ahne,*dass*der Fleck*trotz der starken Reinigung*bleibt.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,practice3rel1.jpg,practice3rel2.jpg,practice3unrel1.jpg,practice3unrel2.jpg,Minimal verunsichert benannte Anne:
1,91,11,filler,WP2,j,low,high,mismatch,no,Die Babysitterin*checkte*im Laden:,Die Verkäuferin*taxieren*das Kind.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler11_WP2_related_1.jpg,Filler11_WP2_related_2.jpg,Filler11_WP2_unrelated_1.jpg,Filler11_WP2_unrelated_2.jpg,Die Babysitterin checkte im Laden:
2,46,6,filler,SocStat,a,high,high,match,yes,Zu spät*kommen*als Arzt*wird*nicht gern*gesehen.,"Ich*denke,*dass*der Stau*wegen der engen Baustelle*unendlich ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler6_socstat_related_1.jpg,Filler6_socstat_related_2.jpg,Filler6_socstat_unrelated_1.jpg,Filler6_socstat_unrelated_2.jpg,Zu spät kommen als Arzt wird nicht gern gesehen.
3,85,5,filler,WP2,g,low,low,match,yes,Der Pöbel*erzählte*überall rum:,Der Bischof*rüffelte*den Herrscher.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler5_WP2_related_1.jpg,Filler5_WP2_related_2.jpg,Filler5_WP2_unrelated_1.jpg,Filler5_WP2_unrelated_2.jpg,Der Pöbel erzählte überall rum:
4,13,13,critical,WP1,f,low,high,mismatch,no,Astrein hergerichtet*plappert*Maria:,Ich*kopiere*später*meine Fingernägel*auf den PC.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Fingernaegel.jpg,Klauen.jpg,Zeichnung.jpg,Kritzelei.jpg,Astrein hergerichtet plappert Maria:
5,78,50,filler,SocStat,b,high,high,match,no,Die Kritiker*beratschlagten sich.,"Ich*nehme an,*dass*der Film*trotz die schwache Bewertung*interessant ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler50_socstat_related_1.jpg,Filler50_socstat_related_2.jpg,Filler50_socstat_unrelated_1.jpg,Filler50_socstat_unrelated_2.jpg,Die Kritiker beratschlagten sich.
6,94,14,filler,WP2,j,high,low,mismatch,no,Der Hochwohlgeborene*verbreitete*anmutig:,Der Meister*checken*den Lehrling.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler14_WP2_related_1.jpg,Filler14_WP2_related_2.jpg,Filler14_WP2_unrelated_1.jpg,Filler14_WP2_unrelated_2.jpg,Der Hochwohlgeborene verbreitete anmutig:
7,51,11,filler,SocStat,a,high,high,match,yes,Elsa*verdient*als Pilotin*sehr viel Geld.,"Ich*bin überzeugt,*dass*die Freundschaft*wegen der großen Entfernung*leiden muss.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler11_socstat_related_1.jpg,Filler11_socstat_related_2.jpg,Filler11_socstat_unrelated_1.jpg,Filler11_socstat_unrelated_2.jpg,Elsa verdient als Pilotin sehr viel Geld.
8,5,5,critical,WP1,c,low,low,match,yes,Stark unter Dampf*trötet*Moritz:,Ich*renoviere*später*meine Kammern*in dem Plattenbau.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Kammern.jpg,Gemaecher.jpg,Poette.jpg,Tassen.jpg,Stark unter Dampf trötet Moritz:
9,113,33,filler,WP2,h,low,low,match,no,Die Ultras*brüllten*vor dem Späti:,Der Säufer*mobben*den Rowdy.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler33_WP2_related_1.jpg,Filler33_WP2_related_2.jpg,Filler33_WP2_unrelated_1.jpg,Filler33_WP2_unrelated_2.jpg,Die Ultras brüllten vor dem Späti:
10,93,13,filler,WP2,j,low,high,mismatch,no,Die Clique*johlte*beim Saufen:,Der Lokalbesitzer*maßregeln*den Kellner.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler13_WP2_related_1.jpg,Filler13_WP2_related_2.jpg,Filler13_WP2_unrelated_1.jpg,Filler13_WP2_unrelated_2.jpg,Die Clique johlte beim Saufen:
11,47,7,filler,SocStat,a,high,high,match,yes,Die Feuerwehrfrau*löscht*die Brände.,"Ich*meine,*dass*die Unruhe*wegen der wüsten Proteste*nachvollziehbar ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler7_socstat_related_1.jpg,Filler7_socstat_related_2.jpg,Filler7_socstat_unrelated_1.jpg,Filler7_socstat_unrelated_2.jpg,Die Feuerwehrfrau löscht die Brände.
12,2,2,critical,WP1,c,high,high,match,yes,Elegant angezogen*spricht*Peter:,Ich*falte*gleich*meine Kleidung*auf der Liege.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Kleidung.jpg,Klamotten.jpg,Schuhe.jpg,Latschen.jpg,Elegant angezogen spricht Peter:
13,104,24,filler,WP2,i,high,low,mismatch,yes,Die Hausherren*debattierten*die Novität:,Der Gärtner*umgarnte*den Gehilfen.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler24_WP2_related_1.jpg,Filler24_WP2_related_2.jpg,Filler24_WP2_unrelated_1.jpg,Filler24_WP2_unrelated_2.jpg,Die Hausherren debattierten die Novität:
14,118,38,filler,WP2,h,high,high,match,no,Die Polizeidirektorin*referierte*die Rivalität:,Der Polizist*inhaftieren*die Aktivistin.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler38_WP2_related_1.jpg,Filler38_WP2_related_2.jpg,Filler38_WP2_unrelated_1.jpg,Filler38_WP2_unrelated_2.jpg,Die Polizeidirektorin referierte die Rivalität:
15,49,9,filler,SocStat,a,high,high,match,yes,Ein Streifenpolizist*braucht*eine gute Intuition.,"Ich*befürchte,*dass*die Strecke*wegen des frühen Rennens*umgeleitet ist.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_unrelated_2.jpg,Ein Streifenpolizist braucht eine gute Intuition.
16,29,29,critical,WP1,e,low,low,match,no,Extrem großkotzig*meint*Annika:,Ich*rauche*bald*meine Kneipe*mit dem Kumpel.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Kneipe.jpg,Schaenke.jpg,Kippe.jpg,Zigarre.jpg,Extrem großkotzig meint Annika:
17,110,30,filler,WP2,i,high,low,mismatch,yes,Der Gesetzeshüter*protokollierte*den Streit:,Der Verbrecher*bemäkelte*den Kontaktmann.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler30_WP2_related_1.jpg,Filler30_WP2_related_2.jpg,Filler30_WP2_unrelated_1.jpg,Filler30_WP2_unrelated_2.jpg,Der Gesetzeshüter protokollierte den Streit:
18,52,12,filler,SocStat,a,high,high,match,yes,Marc*muss*als Berufsmusiker*stets*flexibel sein.,"Ich*bin überzeugt,*dass*die Veranstaltung*wegen der lauten Störung*länger dauert.",Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler12_socstat_related_1.jpg,Filler12_socstat_related_2.jpg,Filler12_socstat_unrelated_1.jpg,Filler12_socstat_unrelated_2.jpg,Marc muss als Berufsmusiker stets flexibel sein.
19,115,35,filler,WP2,h,low,low,match,no,Die Paparazzi*faselten*die krassen News:,Der Radprofi*piesacken*den Rennfahrer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler35_WP2_related_1.jpg,Filler35_WP2_related_2.jpg,Filler35_WP2_unrelated_1.jpg,Filler35_WP2_unrelated_2.jpg,Die Paparazzi faselten die krassen News:
20,24,24,critical,WP1,e,high,high,match,no,Beflissen arbeitend*kündet*Lars:,Ich*befülle*gleich*meine Haare*von dem Wasserhahn.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Haare.jpg,Maehne.jpg,Flasche.jpg,Pulle.jpg,Beflissen arbeitend kündet Lars:
21,96,16,filler,WP2,j,high,low,mismatch,no,Der Vorstand*verbuchte*im Protokoll:,Der Radfahrer*bepöbeln*den Autofahrer.,Welches Bild passt am besten zu dem zuletzt gelesenen Satz?,Filler16_WP2_related_1.jpg,Filler16_WP2_related_2.jpg,Filler16_WP2_unrelated_1.jpg,Filler16_WP2_unrelated_2.jpg,Der Vorstand verbuchte im Protokoll:
